27.00	20.20	23.60	0.00	89.50	96.00	83.0
31.70	20.80	26.25	0.00	80.50	96.00	65.0
34.40	20.60	27.50	0.00	66.50	93.00	40.0
32.50	19.00	25.75	0.00	71.50	82.00	61.0
30.40	22.60	26.50	0.00	77.50	90.00	65.0
30.30	20.60	25.45	0.00	76.00	97.00	55.0
32.80	16.80	24.80	0.00	57.50	78.00	37.0
32.50	14.50	23.50	0.00	62.50	88.00	37.0
32.00	19.50	25.75	0.00	68.00	89.00	47.0
26.20	21.20	23.70	0.00	81.00	92.00	70.0
23.00	18.50	20.75	0.00	83.50	92.00	75.0
25.00	16.40	20.70	0.00	76.00	92.00	60.0
28.40	18.60	23.50	3.00	73.50	94.00	53.0
22.40	11.40	16.90	0.00	74.50	92.00	57.0
20.70	12.80	16.75	0.00	67.00	88.00	46.0
26.40	8.50	17.45	0.00	68.00	95.00	41.0
26.00	14.60	20.30	0.00	75.00	87.00	63.0
23.00	13.90	18.45	0.00	82.50	92.00	73.0
13.90	10.10	12.00	0.00	80.00	92.00	68.0
13.30	9.50	11.40	0.50	85.00	97.00	73.0
14.30	10.30	12.30	1.00	95.00	99.00	91.0
19.50	11.20	15.35	0.00	80.00	99.00	61.0
18.60	8.00	13.30	0.20	81.50	97.00	66.0
15.50	12.10	13.80	0.00	85.50	97.00	74.0
17.30	6.10	11.70	0.00	81.00	98.00	64.0
17.10	11.10	14.10	0.00	75.50	94.00	57.0
18.50	11.80	15.15	0.00	74.50	93.00	56.0
20.50	13.20	16.85	0.00	72.00	89.00	55.0
21.00	10.40	15.70	0.00	72.50	91.00	54.0
20.80	13.40	17.10	0.00	76.50	91.00	62.0
19.50	14.00	16.75	0.00	74.50	93.00	56.0
18.80	13.40	16.10	0.00	74.00	93.00	55.0
16.10	12.20	14.15	0.00	86.00	95.00	77.0
16.70	12.00	14.35	0.00	85.50	95.00	76.0
16.20	11.60	13.90	0.00	79.50	92.00	67.0
17.40	12.40	14.90	0.00	75.00	88.00	62.0
22.00	7.00	14.50	0.00	67.00	91.00	43.0
24.20	6.50	15.35	0.00	67.50	92.00	43.0
24.00	9.90	16.95	0.00	72.00	97.00	47.0
24.50	11.50	18.00	0.00	78.00	96.00	60.0
28.60	16.90	22.75	0.00	69.50	88.00	51.0
24.50	16.80	20.65	0.30	82.50	92.00	73.0
23.10	18.30	20.70	0.00	90.50	97.00	84.0
26.00	18.30	22.15	0.00	83.00	97.00	69.0
26.30	16.10	21.20	0.20	80.00	94.00	66.0
27.40	17.00	22.20	0.00	80.00	98.00	62.0
23.50	14.10	18.80	0.00	92.00	100.00	84.0
24.50	14.00	19.25	0.00	83.00	96.00	70.0
26.00	13.60	19.80	0.00	82.50	97.00	68.0
29.00	19.50	24.25	0.00	78.00	93.00	63.0
29.50	19.30	24.40	0.00	75.50	91.00	60.0
23.00	18.20	20.60	1.00	92.50	95.00	90.0
19.00	15.80	17.40	0.20	91.00	100.00	82.0
22.20	15.90	19.05	0.30	93.00	99.00	87.0
19.20	16.30	17.75	0.30	95.00	97.00	93.0
22.00	14.60	18.30	0.00	87.50	99.00	76.0
21.50	15.90	18.70	0.00	89.50	97.00	82.0
22.00	16.80	19.40	2.00	82.00	93.00	71.0
24.50	18.10	21.30	0.00	87.00	99.00	75.0
25.00	17.00	21.00	0.00	85.50	97.00	74.0
24.80	19.20	22.00	0.00	85.50	94.00	77.0
32.00	16.10	24.05	0.00	68.50	97.00	40.0
32.00	17.00	24.50	0.00	56.00	79.00	33.0
32.30	13.80	23.05	0.00	69.00	93.00	45.0
31.80	16.00	23.90	0.00	71.50	94.00	49.0
26.00	13.10	19.55	0.70	84.50	96.00	73.0
14.00	10.00	12.00	0.20	72.50	97.00	48.0
13.20	8.70	10.95	0.00	67.00	78.00	56.0
