493	1351	529	53	635	24.000000
263	1197	353	11	399	24.000000
67	337	99	15	90	24.000000
229	995	270	24	272	24.000000
288	1343	302	17	378	24.000000
381	1716	343	30	453	24.000000
77	356	95	7	99	24.000000
535	2242	492	48	617	24.000000
235	1094	267	23	317	24.000000
293	1304	318	34	373	24.000000
134	515	132	19	162	24.000000
223	1003	249	18	256	24.000000
296	1428	354	23	426	24.000000
247	1079	247	22	306	24.000000
431	1916	430	37	545	24.000000
281	1339	330	37	329	24.000000
300	1543	353	39	402	24.000000
328	1659	370	26	432	24.000000
332	1487	363	38	398	24.000000
242	1027	250	23	268	24.000000
98	436	107	6	131	24.000000
232	1140	286	6	276	24.000000
280	1235	310	12	336	24.000000
199	874	214	14	254	24.000000
119	499	117	12	161	24.000000
150	708	201	14	190	24.000000
263	1137	321	24	339	24.000000
267	1186	292	30	343	24.000000
364	1635	397	38	474	24.000000
388	1798	454	28	506	24.000000
65	383	80	11	78	24.000000
283	1267	331	23	352	24.000000
149	711	149	17	195	24.000000
206	963	224	20	274	24.000000
141	662	166	17	210	24.000000
347	1590	364	38	419	24.000000
406	1765	432	35	458	24.000000
366	1801	447	22	485	24.000000
468	2084	495	58	587	24.000000
228	1077	234	12	289	24.000000
477	2250	533	30	618	24.000000
285	1256	327	20	372	24.000000
406	1929	429	22	473	24.000000
186	961	217	26	239	24.000000
499	2196	539	40	648	24.000000
289	1267	294	14	368	24.000000
385	1683	412	32	465	24.000000
291	1551	367	24	395	24.000000
318	1446	370	22	376	24.000000
403	1736	375	24	469	24.000000
265	1123	275	22	332	24.000000
229	1016	266	20	308	24.000000
358	1659	388	30	448	24.000000
209	1006	225	12	293	24.000000
360	1671	395	35	448	24.000000
332	1521	356	28	396	24.000000
332	1521	356	28	396	24.000000
332	1521	356	28	396	24.000000
332	1521	356	28	396	24.000000
265	1123	275	22	332	24.000000
229	1016	266	20	308	24.000000
358	1659	388	30	448	24.000000
209	1006	225	12	293	24.000000
360	1671	395	35	448	24.000000
493	1351	529	53	635	24.000000
263	1197	353	11	399	24.000000
67	337	99	15	90	24.000000
229	995	270	24	272	24.000000
288	1343	302	17	378	24.000000
381	1716	343	30	453	24.000000
77	356	95	7	99	24.000000
535	2242	492	48	617	24.000000
235	1094	267	23	317	24.000000
293	1304	318	34	373	24.000000
134	515	132	19	162	24.000000
223	1003	249	18	256	24.000000
296	1428	354	23	426	24.000000
247	1079	247	22	306	24.000000
431	1916	430	37	545	24.000000
281	1339	330	37	329	24.000000
